rule	support	confidence	lift
('"Corvina', 'Italy') ==> (' Molinara"', ' Rondinella', 'NoRegion_2')	0.011	1.000	89.739
(' Molinara"', ' Rondinella', 'NoRegion_2') ==> ('"Corvina', 'Italy')	0.011	1.000	89.739
(' Molinara"', 'Italy', 'NoRegion_2') ==> (' Rondinella', '"Corvina')	0.011	1.000	89.739
(' Molinara"', ' Rondinella', 'Italy') ==> ('"Corvina', 'NoRegion_2')	0.011	1.000	89.739
(' Rondinella', '"Corvina', 'NoRegion_2') ==> (' Molinara"', 'Italy')	0.011	1.000	89.739
('Italy', '"Corvina', 'NoRegion_2') ==> (' Molinara"', ' Rondinella')	0.011	1.000	89.739
(' Rondinella', '"Corvina', 'Italy') ==> (' Molinara"', 'NoRegion_2')	0.011	1.000	89.739
(' Molinara"', 'Italy', ' Rondinella', 'NoRegion_2') ==> ('"Corvina',)	0.011	1.000	89.739
(' Rondinella', 'Italy', '"Corvina', 'NoRegion_2') ==> (' Molinara"',)	0.011	1.000	89.739
(' Molinara"',) ==> ('Veneto', ' Rondinella', '"Corvina', 'Italy')	0.011	1.000	89.739
('"Corvina',) ==> ('Veneto', ' Molinara"', ' Rondinella', 'Italy')	0.011	1.000	89.739
(' Molinara"', ' Rondinella') ==> ('Veneto', '"Corvina', 'Italy')	0.011	1.000	89.739
('Veneto', ' Molinara"') ==> (' Rondinella', '"Corvina', 'Italy')	0.011	1.000	89.739
(' Molinara"', 'Italy') ==> ('Veneto', ' Rondinella', '"Corvina')	0.011	1.000	89.739
(' Rondinella', '"Corvina') ==> ('Veneto', ' Molinara"', 'Italy')	0.011	1.000	89.739
('Veneto', '"Corvina') ==> (' Molinara"', ' Rondinella', 'Italy')	0.011	1.000	89.739
('"Corvina', 'Italy') ==> ('Veneto', ' Molinara"', ' Rondinella')	0.011	1.000	89.739
('Veneto', ' Molinara"', ' Rondinella') ==> ('"Corvina', 'Italy')	0.011	1.000	89.739
(' Molinara"', ' Rondinella', 'Italy') ==> ('Veneto', '"Corvina')	0.011	1.000	89.739
('Veneto', ' Molinara"', 'Italy') ==> (' Rondinella', '"Corvina')	0.011	1.000	89.739
('Veneto', ' Rondinella', '"Corvina') ==> (' Molinara"', 'Italy')	0.011	1.000	89.739
(' Rondinella', '"Corvina', 'Italy') ==> ('Veneto', ' Molinara"')	0.011	1.000	89.739
('Veneto', '"Corvina', 'Italy') ==> (' Molinara"', ' Rondinella')	0.011	1.000	89.739
('Veneto', ' Molinara"', ' Rondinella', 'Italy') ==> ('"Corvina',)	0.011	1.000	89.739
('Veneto', ' Rondinella', '"Corvina', 'Italy') ==> (' Molinara"',)	0.011	1.000	89.739
(' Molinara"',) ==> ('Veneto', 'Italy', '"Corvina', 'NoRegion_2')	0.011	1.000	89.739
('"Corvina',) ==> ('Veneto', ' Molinara"', 'Italy', 'NoRegion_2')	0.011	1.000	89.739
(' Molinara"', 'NoRegion_2') ==> ('Veneto', '"Corvina', 'Italy')	0.011	1.000	89.739
('Veneto', ' Molinara"') ==> ('Italy', '"Corvina', 'NoRegion_2')	0.011	1.000	89.739
(' Molinara"', 'Italy') ==> ('Veneto', '"Corvina', 'NoRegion_2')	0.011	1.000	89.739
('"Corvina', 'NoRegion_2') ==> ('Veneto', ' Molinara"', 'Italy')	0.011	1.000	89.739
('Veneto', '"Corvina') ==> (' Molinara"', 'Italy', 'NoRegion_2')	0.011	1.000	89.739
('"Corvina', 'Italy') ==> ('Veneto', ' Molinara"', 'NoRegion_2')	0.011	1.000	89.739
('Veneto', ' Molinara"', 'NoRegion_2') ==> ('"Corvina', 'Italy')	0.011	1.000	89.739
(' Molinara"', 'Italy', 'NoRegion_2') ==> ('Veneto', '"Corvina')	0.011	1.000	89.739
('Veneto', ' Molinara"', 'Italy') ==> ('"Corvina', 'NoRegion_2')	0.011	1.000	89.739
('Veneto', '"Corvina', 'NoRegion_2') ==> (' Molinara"', 'Italy')	0.011	1.000	89.739
